Time,GGALT,GGLON,GGLAT,CONCD_RWIO
108338,1510.9264,148.27025,-43.628487,0.0
108339,1511.1508,148.26958,-43.627346,0.0
108340,1511.5277,148.26897,-43.62619,0.0
108341,1511.9744,148.26842,-43.625023,0.0
108342,1512.4182,148.26794,-43.623844,0.0
108343,1512.8536,148.26755,-43.62266,0.0
108344,1513.2375,148.26721,-43.621468,0.0
108345,1513.6747,148.26695,-43.620277,0.0
108346,1514.1259,148.26675,-43.619083,0.0
108347,1514.5271,148.26663,-43.61789,0.0
108348,1514.8486,148.26657,-43.616703,0.0
108349,1515.149,148.26659,-43.615517,0.0
108350,1515.5049,148.26666,-43.61434,0.0
108351,1515.885,148.2668,-43.61318,0.0
108352,1516.1746,148.267,-43.612022,0.0
108353,1516.2114,148.26724,-43.61088,0.0
108354,1515.9485,148.26755,-43.609753,0.0
108355,1515.58,148.26793,-43.608643,0.0
108356,1515.336,148.26836,-43.60755,0.0
108357,1515.2787,148.26886,-43.60648,0.0
108358,1515.4065,148.26942,-43.605434,0.0
108359,1515.6448,148.27005,-43.604416,0.0
108360,1515.9702,148.27072,-43.603424,0.0
108361,1516.3538,148.27145,-43.60246,0.0
108362,1516.838,148.27223,-43.601524,0.0
108363,1517.4109,148.27306,-43.600616,0.0
108364,1518.005,148.27391,-43.599735,0.0
108365,1518.5387,148.27481,-43.598877,0.0
108366,1518.9462,148.27573,-43.598045,0.0
108367,1519.1854,148.27667,-43.59724,0.0
108368,1519.254,148.27765,-43.596455,0.0
108369,1519.1039,148.27864,-43.595695,0.0
108370,1518.7556,148.27965,-43.594955,0.0
108371,1518.3035,148.28069,-43.59424,0.0
108372,1517.8239,148.28174,-43.593548,0.0
108373,1517.383,148.2828,-43.592876,0.0
108374,1517.0376,148.2839,-43.59223,0.0
108375,1516.8108,148.285,-43.591614,0.0
108376,1516.7079,148.28613,-43.591015,0.0
108377,1516.7217,148.28726,-43.590446,0.0
108378,1516.8135,148.2884,-43.589897,0.0
108379,1516.9479,148.28958,-43.58938,0.0
108380,1517.0654,148.29074,-43.588882,0.0
108381,1517.187,148.29193,-43.58841,0.0
108382,1517.3568,148.29312,-43.587963,0.0
108383,1517.5409,148.29433,-43.587543,0.0
108384,1517.7075,148.29553,-43.58715,0.0
108385,1517.8617,148.29675,-43.58678,0.0
108386,1517.9624,148.29797,-43.586437,0.0
108387,1518.0537,148.29921,-43.586117,0.0
108388,1518.183,148.30045,-43.585823,0.0
108389,1518.3033,148.30167,-43.585552,0.0
108390,1518.3575,148.3029,-43.585308,0.0
108391,1518.3624,148.30415,-43.585087,0.0
108392,1518.355,148.30539,-43.58489,0.0
108393,1518.3267,148.30663,-43.584717,0.0
108394,1518.3376,148.30786,-43.584564,0.0
108395,1518.545,148.30908,-43.584442,0.0
108396,1518.9978,148.31032,-43.58434,0.0
108397,1519.6534,148.31154,-43.584263,0.0
108398,1520.4613,148.31276,-43.584206,0.0
108399,1521.3435,148.31398,-43.584175,0.0
108400,1522.2194,148.31519,-43.584164,0.0
108401,1523.0286,148.31638,-43.584175,0.0
108402,1523.7548,148.31757,-43.584206,0.0
108403,1524.4131,148.31876,-43.58426,0.0
108404,1525.0052,148.31992,-43.58433,0.0
108405,1525.5282,148.32109,-43.584423,0.0
108406,1525.9982,148.32224,-43.584534,0.0
108407,1526.389,148.32338,-43.584663,0.0
108408,1526.6898,148.32451,-43.584812,0.0
108409,1526.915,148.32562,-43.584976,0.0
108410,1527.0779,148.32672,-43.58516,0.0
108411,1527.2141,148.32782,-43.585358,0.0
108412,1527.4415,148.3289,-43.585575,0.0
108413,1527.6411,148.32997,-43.58581,0.0
108414,1527.8767,148.33104,-43.586063,0.0
108415,1528.19,148.33209,-43.586334,0.0
108416,1528.6442,148.33315,-43.586628,0.0
108417,1529.2744,148.3342,-43.58694,0.0
108418,1530.1096,148.33525,-43.587273,0.0
108419,1531.0468,148.3363,-43.587627,0.0
108420,1531.9647,148.33733,-43.587997,0.0
108421,1532.7383,148.33836,-43.588383,0.0
108422,1533.2986,148.33937,-43.588787,0.0
108423,1533.6279,148.34038,-43.58921,0.0
108424,1533.7015,148.34137,-43.58965,0.0
108425,1533.5167,148.34235,-43.590103,0.0
108426,1533.1133,148.3433,-43.590576,0.0
108427,1532.5342,148.34425,-43.59107,0.0
108428,1531.8257,148.34518,-43.59157,0.0
108429,1531.0247,148.3461,-43.5921,0.0
108430,1530.171,148.347,-43.592636,0.0
108431,1529.3055,148.34787,-43.593193,0.0
108432,1528.4609,148.34872,-43.593765,0.0
108433,1527.6885,148.34956,-43.594353,0.0
108434,1527.0819,148.35037,-43.594955,0.0
108435,1526.6577,148.35115,-43.595573,0.0
108436,1526.3677,148.35193,-43.596207,0.0
108437,1526.2777,148.35268,-43.596848,0.0
108438,1526.3871,148.3534,-43.597504,0.0
108439,1526.6863,148.35411,-43.598164,0.0
108440,1527.1484,148.35481,-43.59883,0.0
108441,1527.7148,148.3555,-43.599506,0.0
108442,1528.3433,148.35619,-43.600185,0.0
108443,1528.987,148.35686,-43.600864,0.0
108444,1529.5969,148.35753,-43.60155,0.0
108445,1530.1278,148.3582,-43.602234,0.0
108446,1530.5653,148.35886,-43.602924,0.0
108447,1530.908,148.35953,-43.60361,0.0
108448,1531.1525,148.36018,-43.6043,0.0
108449,1531.307,148.36086,-43.604992,0.0
108450,1531.3739,148.36151,-43.605682,0.0
108451,1531.4734,148.36218,-43.606377,0.0
108452,1531.4524,148.36284,-43.607067,0.0
108453,1531.4054,148.3635,-43.60776,0.0
108454,1531.3516,148.36415,-43.608456,0.0
108455,1531.3059,148.36482,-43.60915,0.0
108456,1531.2705,148.36548,-43.609844,0.0
108457,1531.2559,148.36613,-43.61054,0.0
108458,1531.2551,148.36679,-43.611233,0.0
108459,1531.2524,148.36745,-43.611927,0.0
108460,1531.2246,148.3681,-43.61262,0.0
108461,1531.1525,148.36877,-43.61331,0.0
108462,1531.0338,148.36943,-43.614006,0.0
108463,1530.8827,148.37009,-43.6147,0.0
108464,1530.719,148.37074,-43.615395,0.0
108465,1530.565,148.3714,-43.616085,0.0
108466,1530.4332,148.37206,-43.61678,0.0
108467,1530.335,148.37271,-43.61747,0.0
108468,1530.2626,148.37338,-43.618164,0.0
108469,1530.2133,148.37404,-43.618855,0.0
108470,1530.1982,148.3747,-43.619545,0.0
108471,1530.2179,148.37535,-43.620235,0.0
108472,1530.2688,148.37602,-43.620922,0.0
108473,1530.4243,148.37668,-43.621613,0.0
108474,1530.4962,148.37733,-43.622303,0.0
108475,1530.5383,148.37799,-43.62299,0.0
108476,1530.543,148.37866,-43.62368,0.0
108477,1530.5234,148.37932,-43.624367,0.0
108478,1530.5078,148.37997,-43.625053,0.0
108479,1530.506,148.38065,-43.62574,0.0
